,N_seq,MSE Type,MSE Value
0,50,Weighted MSE,0.7131714640958735
1,150,Weighted MSE,0.57535131525782
2,250,Weighted MSE,0.5380453016737475
3,350,Weighted MSE,0.5194189109879376
4,450,Weighted MSE,0.5107817555481745
5,550,Weighted MSE,0.5046656508437473
6,650,Weighted MSE,0.5018476804915599
7,750,Weighted MSE,0.49574747408982744
8,850,Weighted MSE,0.49558371368805487
9,950,Weighted MSE,0.490539163214131
10,1050,Weighted MSE,0.48679772041335023
11,50,Pooled MSE,0.6807359405065282
12,150,Pooled MSE,0.5917755984404532
13,250,Pooled MSE,0.5677391144694133
14,350,Pooled MSE,0.5592570565737788
15,450,Pooled MSE,0.5550317043577235
16,550,Pooled MSE,0.5524684078754679
17,650,Pooled MSE,0.547748373414116
18,750,Pooled MSE,0.5472132272809364
19,850,Pooled MSE,0.5448167353783662
20,950,Pooled MSE,0.5428705761353907
21,1050,Pooled MSE,0.5423965311119379
